# right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.239301002910,-1.319606972780,-0.130388366970,1.690063333050,-0.956820516444,-0.700645724867,0.879737981852
0.241218478895,-1.316922506400,-0.156849535561,1.754874021340,-0.952985564474,-0.794602048125,0.875519534686
0.241985469289,-1.299281727340,-0.164902934698,1.869922580430,-0.801504961670,-0.895077789731,0.668048633124
0.246203916456,-1.205708899280,-0.164135944304,1.926679869580,-0.800354476079,-0.966791391565,0.578694252230
0.246970906850,-1.121339955940,-0.169504877061,1.926296374390,-0.755485538034,-1.046558392530,0.563737939548
0.247737897243,-1.046558392530,-0.183310704152,1.925912879190,-0.747048643700,-1.085674902630,0.476301034638
0.248121392440,-0.944548670140,-0.181393228167,1.922461422420,-0.710616599988,-1.171961321940,0.391932091305
0.250422363622,-0.852893318064,-0.181009732970,1.920543946430,-0.696043782503,-1.242524438190,0.293373825683
0.266912657092,-0.785014668200,-0.167203905880,1.907121614540,-0.673417565882,-1.257480750870,0.241985469289
0.353582571608,-0.784247677806,-0.159534001940,1.921694432020,-0.587131146563,-1.249043856540,0.237383526925
0.449839866047,-0.786165153791,-0.160300992334,1.997626481020,-0.523854439063,-1.252111818110,0.167203905880
0.553000074033,-0.786932144185,-0.157616525955,2.042495419070,-0.485121424169,-1.305417650490,0.166820410683
0.677636013048,-0.787315639382,-0.156082545167,2.063204159710,-0.324053441441,-1.296980756160,0.121951472637
0.822213702307,-0.788466124973,-0.155315554773,2.102704164990,-0.135373804531,-1.305417650490,0.087053409713
0.987116637004,-0.788466124973,-0.154548564379,2.099636203420,0.011504855909,-1.305801145690,0.043718452455
1.104849662470,-0.785781658594,-0.154548564379,2.053616779780,0.129237881379,-1.277422501110,0.016106798273
1.204558413690,-0.757019518821,-0.152631088395,1.975000264400,0.308330138365,-1.182315692260,-0.031830101349
1.252111818110,-0.721354465503,-0.153781573986,1.904053652960,0.397301024062,-1.122106946340,-0.077466029788
1.254412789290,-0.727106893458,-0.156082545167,1.905204138550,0.396534033668,-1.113670052000,-0.078616515379
